,PC_7,PC_4,PC_5,PC_1,PC_3,PC_2,PC_6,PC_8
BiLSTM,0.0593902131081733,0.0409537336364197,0.0452716422999228,0.0484479662402027,0.0436088314324692,0.0295432872688063,0.0455778589098023,0.0391546013712828
CNN,0.0868037129972368,0.0502889389747235,0.0527017374727094,0.0400852647142835,0.0411865021069016,0.0260362623680338,0.0419454002232588,0.0233528117863429
GRU,0.0679673596830797,0.0594876495163898,0.048120371213027,0.0540111795158981,0.042334190559003,0.0253742138227802,0.0230817919464642,0.0054491472809737
LSTM,0.0618013004596863,0.0564449515023262,0.045695489118142,0.0604250439957972,0.0491609490933666,0.0337175325875181,0.0262858925516958,0.0059106496346767
LSTM-CNN (Hybrid),0.0362366463249814,0.0626582301610122,0.0365248052113657,0.0381391548432164,0.044249498400059,0.0397857678281698,0.0168846224702113,0.00354242607757
RNN,0.0666712084228056,0.0532435586997116,0.064743772893978,0.0483253256899741,0.05133286399408,0.0488449635966246,0.025184466563371,0.0038735810838011
