Model,Best Val Accuracy Epoch,Best Val Accuracy,Best Val Loss Epoch,Best Val Loss,Epochs Run
BiLSTM,49,0.9925328493118286,45,0.0181695334613323,50
CNN,50,0.9950679540634155,49,0.014440781436860561,50
GRU,48,0.9893544912338256,48,0.0248227827250957,50
LSTM,46,0.9919331669807434,50,0.0206704046577215,50
LSTM-CNN (Hybrid),41,0.9995747804641724,31,0.00768181961029768,43
RNN,50,0.986572265625,50,0.0309383757412433,50
