,PC_7,PC_1,PC_4,PC_5,PC_3,PC_2,PC_6,PC_8,PC_28,PC_27,PC_11,PC_24,PC_14,PC_33,PC_10,PC_13,PC_9,PC_18,PC_23,PC_29,PC_12,PC_30
BiLSTM,0.0593902131081733,0.0484479662402027,0.0409537336364197,0.0452716422999228,0.0436088314324692,0.0295432872688063,0.0455778589098023,0.0391546013712828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN,0.0868037129972368,0.0400852647142835,0.0502889389747235,0.0527017374727094,0.0411865021069016,0.0260362623680338,0.0419454002232588,0.0233528117863429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRU,0.0679673596830797,0.0540111795158981,0.0594876495163898,0.048120371213027,0.042334190559003,0.0253742138227802,0.0230817919464642,0.0054491472809737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSTM,0.0618013004596863,0.0604250439957972,0.0564449515023262,0.045695489118142,0.0491609490933666,0.0337175325875181,0.0262858925516958,0.0059106496346767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LSTM-CNN (Hybrid),0.0,0.0253611772372498,0.0127125828275797,0.013494851420826,0.0295228262566703,0.0239358280815775,0.0,0.0132700878463759,0.0599933677770501,0.0560368201067148,0.0304142985168444,0.0297629112828813,0.017552925424167,0.0175029803868719,0.0168295866009939,0.0160139481505411,0.0150629985888145,0.0147508695060616,0.0135675971863899,0.013182606074218,0.0126730649492135,0.0124805485066697
RNN,0.0666712084228056,0.0483253256899741,0.0532435586997116,0.064743772893978,0.05133286399408,0.0488449635966246,0.025184466563371,0.0038735810838011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
